run_id,experiment_set,channel,port,measured_mean_v,target_end_v,offset_v,std_v,stderr_v,n_shots,n_samples,sample_start,sample_stop,tail_duration_s
21,2,v_sweep,11,-0.9159402325243304,-0.75,-0.16594023252433043,0.00037463927018908445,1.173041056934086e-05,1020,1250,297758,299008,0.0002
22,2,isat,21,-0.0019417053739383633,0.0,-0.0019417053739383633,0.011076103235125865,0.0003468062448201313,1020,1250,297758,299008,0.0002
22,2,i_sweep,21,-0.01874860071688528,0.0,-0.01874860071688528,0.0009404600826237507,2.944694742674697e-05,1020,1250,297758,299008,0.0002
22,2,v_sweep,21,-0.9152231371721481,-0.75,-0.1652231371721481,0.000436557793944476,1.3669154751528812e-05,1020,1250,297758,299008,0.0002
23,2,isat,21,-0.011127825783916797,0.0,-0.011127825783916797,0.006296155238838573,0.00019714026755018678,1020,1250,297758,299008,0.0002
23,2,i_sweep,21,-0.018937535577049417,0.0,-0.018937535577049417,0.0009708754525650377,3.0399289600725723e-05,1020,1250,297758,299008,0.0002
23,2,v_sweep,21,-0.914619223936396,-0.75,-0.16461922393639605,0.00048474777521270913,1.517804159438411e-05,1020,1250,297758,299008,0.0002
24,2,isat,29,-0.012274343912608354,0.0,-0.012274343912608354,0.003051483225286172,9.554564597565293e-05,1020,1250,297758,299008,0.0002
24,2,i_sweep,29,-0.018712838299419873,0.0,-0.018712838299419873,0.0009256086176888134,2.8981930021724118e-05,1020,1250,297758,299008,0.0002
24,2,v_sweep,29,-0.9149999880498075,-0.75,-0.16499998804980753,0.00047078109128446694,1.4740727757295419e-05,1020,1250,297758,299008,0.0002
25,2,isat,29,-0.011709878315780638,0.0,-0.011709878315780638,0.0032048326753719284,0.00010034720350906545,1020,1250,297758,299008,0.0002
25,2,i_sweep,29,-0.018797165115470065,0.0,-0.018797165115470065,0.0009239413180565683,2.8929724845212657e-05,1020,1250,297758,299008,0.0002
25,2,v_sweep,29,-0.9154570130023708,-0.75,-0.1654570130023708,0.0003886239570485272,1.2168288100070977e-05,1020,1250,297758,299008,0.0002
26,2,isat,41,-0.01653252919285487,0.0,-0.01653252919285487,0.0010699179503828387,3.3500430499888465e-05,1020,1250,297758,299008,0.0002
26,2,i_sweep,41,-0.018817768696665977,0.0,-0.018817768696665977,0.0008692832769303612,2.721831519239456e-05,1020,1250,297758,299008,0.0002
26,2,v_sweep,41,-0.9142513360162046,-0.75,-0.16425133601620456,0.00042735861255667094,1.3381117209371716e-05,1020,1250,297758,299008,0.0002
27,2,isat,41,-0.015413285253023731,0.0,-0.015413285253023731,0.0012856995810411288,4.025681543429773e-05,1020,1250,297758,299008,0.0002
27,2,i_sweep,41,-0.018678124544370886,0.0,-0.018678124544370886,0.001020645670695356,3.195765557901631e-05,1020,1250,297758,299008,0.0002
27,2,v_sweep,41,-0.9141338795856904,-0.75,-0.16413387958569037,0.0004352805618383875,1.362916306301949e-05,1020,1250,297758,299008,0.0002
28,2,isat,50,-0.021820081743389064,0.0,-0.021820081743389064,0.0018262594614556398,5.7182401829380245e-05,1020,1250,297758,299008,0.0002
28,2,i_sweep,50,-0.021807990744483387,0.0,-0.021807990744483387,0.0018247387878664364,5.713478769236171e-05,1020,1250,297758,299008,0.0002
28,2,v_sweep,50,-0.9156480636646662,-0.75,-0.16564806366466622,0.0004026371738543236,1.2607058938072594e-05,1020,1250,297758,299008,0.0002
31,3,isat,11,-0.02483316784269378,0.0,-0.02483316784269378,0.0017386995318866836,5.444079408829099e-05,1020,1250,297758,299008,0.0002
31,3,i_sweep,11,-0.02222098841425354,0.0,-0.02222098841425354,0.0018016335060533776,5.641133325617644e-05,1020,1250,297758,299008,0.0002
31,3,v_sweep,11,-0.9147079490158834,-0.75,-0.16470794901588337,0.00041095249802305755,1.2867421837208026e-05,1020,1250,297758,299008,0.0002
32,3,isat,21,-0.013490260957021183,0.0,-0.013490260957021183,0.003878879131768382,0.00012145241672483175,1020,1250,297758,299008,0.0002
32,3,i_sweep,21,-0.018852005616251086,0.0,-0.018852005616251086,0.0008855515783435811,2.7727695468377214e-05,1020,1250,297758,299008,0.0002
32,3,v_sweep,21,-0.9155150515297434,-0.75,-0.16551505152974344,0.0004173322052638991,1.3067178219419366e-05,1020,1250,297758,299008,0.0002
33,3,isat,21,-0.012399800771047124,0.0,-0.012399800771047124,0.0035134775938205198,0.00011001125077169059,1020,1250,297758,299008,0.0002
33,3,i_sweep,21,-0.018249457761986148,0.0,-0.018249457761986148,0.0008745128744945819,2.7382060243760294e-05,1020,1250,297758,299008,0.0002
33,3,v_sweep,21,-0.9159282016826622,-0.75,-0.1659282016826622,0.00039146180597338413,1.225714459662974e-05,1020,1250,297758,299008,0.0002
34,3,isat,29,-0.013631779131453168,0.0,-0.013631779131453168,0.0015430652286662315,4.831524644598275e-05,1020,1250,297758,299008,0.0002
34,3,i_sweep,29,-0.018197071470514876,0.0,-0.018197071470514876,0.0009634526137565905,3.0166871502192765e-05,1020,1250,297758,299008,0.0002
34,3,v_sweep,29,-0.916073429371657,-0.75,-0.16607342937165703,0.0004249669064696057,1.3306229986928893e-05,1020,1250,297758,299008,0.0002
35,3,isat,29,-0.014420915834785995,0.0,-0.014420915834785995,0.00151924805325149,4.7569501756495386e-05,1020,1250,297758,299008,0.0002
35,3,i_sweep,29,-0.01831733542051858,0.0,-0.01831733542051858,0.0009697929389723426,3.0365394785366946e-05,1020,1250,297758,299008,0.0002
35,3,v_sweep,29,-0.915771591311398,-0.75,-0.16577159131139796,0.00046287324086974953,1.4493123356297228e-05,1020,1250,297758,299008,0.0002
36,3,isat,41,-0.018169813638607236,0.0,-0.018169813638607236,0.0009788802831262032,3.064993056789685e-05,1020,1250,297758,299008,0.0002
36,3,i_sweep,41,-0.01873792774462208,0.0,-0.01873792774462208,0.0008641893540342616,2.7058818279671938e-05,1020,1250,297758,299008,0.0002
36,3,v_sweep,41,-0.9152317048834274,-0.75,-0.16523170488342742,0.00038967382849647243,1.2201160850231979e-05,1020,1250,297758,299008,0.0002
37,3,isat,41,-0.018049408352415346,0.0,-0.018049408352415346,0.0009760732227611625,3.056203809854031e-05,1020,1250,297758,299008,0.0002
37,3,i_sweep,41,-0.018724413933150708,0.0,-0.018724413933150708,0.0009561374489107677,2.9937824806205443e-05,1020,1250,297758,299008,0.0002
37,3,v_sweep,41,-0.9146982680019335,-0.75,-0.16469826800193355,0.00046224413664855266,1.4473425339050344e-05,1020,1250,297758,299008,0.0002
38,3,isat,50,-0.023633463567540543,0.0,-0.023633463567540543,0.0020387644151675217,6.383619002889554e-05,1020,1250,297758,299008,0.0002
38,3,i_sweep,50,-0.022521772844429064,0.0,-0.022521772844429064,0.0018180169900820975,5.692432003974594e-05,1020,1250,297758,299008,0.0002
38,3,v_sweep,50,-0.9148427286104248,-0.75,-0.16484272861042482,0.0004234704940581985,1.3259375496853669e-05,1020,1250,297758,299008,0.0002
41,4,isat,11,-0.022868810859832236,0.0,-0.022868810859832236,0.0017753856484687988,5.55894809557561e-05,1020,1250,297758,299008,0.0002
41,4,i_sweep,11,-0.02261736572373361,0.0,-0.02261736572373361,0.0018726836900055089,5.863600081002108e-05,1020,1250,297758,299008,0.0002
41,4,v_sweep,11,-0.9126355276436252,-0.75,-0.1626355276436252,0.0003882956457669278,1.2158008275092235e-05,1020,1250,297758,299008,0.0002
42,4,isat,21,-0.018676223502971268,0.0,-0.018676223502971268,0.002161706917701567,6.768566910357636e-05,1020,1250,297758,299008,0.0002
42,4,i_sweep,21,-0.021840961999411997,0.0,-0.021840961999411997,0.00179956328546164,5.63465121350539e-05,1020,1250,297758,299008,0.0002
42,4,v_sweep,21,-0.2507183993971706,-0.2,-0.0507183993971706,0.0003670453436570073,1.1492635506385723e-05,1020,1250,297758,299008,0.0002
43,4,isat,21,-0.013697399227596921,0.0,-0.013697399227596921,0.006619752447638678,0.00020727248918408573,1020,1250,297758,299008,0.0002
43,4,i_sweep,21,-0.023119183100991814,0.0,-0.023119183100991814,0.0017459431016608618,5.466759905562901e-05,1020,1250,297758,299008,0.0002
43,4,v_sweep,21,-0.25077924241496746,-0.2,-0.05077924241496745,0.00037116880429383586,1.1621746067091498e-05,1020,1250,297758,299008,0.0002
44,4,isat,29,-0.020827753641602397,0.0,-0.020827753641602397,0.0020265831079261214,6.345477850430873e-05,1020,1250,297758,299008,0.0002
44,4,i_sweep,29,-0.024363386829641467,0.0,-0.024363386829641467,0.0017635011025832537,5.521736138965388e-05,1020,1250,297758,299008,0.0002
44,4,v_sweep,29,-0.25076882261198435,-0.2,-0.05076882261198434,0.0003606741899374876,1.1293146945315687e-05,1020,1250,297758,299008,0.0002
45,4,isat,29,-0.022249117223605487,0.0,-0.022249117223605487,0.002188980078876713,6.853962490470421e-05,1020,1250,297758,299008,0.0002
45,4,i_sweep,29,-0.02493433250592458,0.0,-0.02493433250592458,0.0017838751009973033,5.585529602532429e-05,1020,1250,297758,299008,0.0002
45,4,v_sweep,29,-0.250763126696961,-0.2,-0.05076312669696098,0.00035699013033881223,1.117779456479089e-05,1020,1250,297758,299008,0.0002
46,4,isat,41,-0.027798283179636615,0.0,-0.027798283179636615,0.0017611861479604881,5.51448773487771e-05,1020,1250,297758,299008,0.0002
46,4,i_sweep,41,-0.02327926762844296,0.0,-0.02327926762844296,0.001884723974049184,5.90129967270068e-05,1020,1250,297758,299008,0.0002
46,4,v_sweep,41,-0.25078696701620334,-0.2,-0.05078696701620333,0.00035160241568941763,1.100909867544658e-05,1020,1250,297758,299008,0.0002
47,4,isat,41,-0.027992519146449325,0.0,-0.027992519146449325,0.0017286786237275724,5.4127027282892544e-05,1020,1250,297758,299008,0.0002
47,4,i_sweep,41,-0.023169562333776997,0.0,-0.023169562333776997,0.0017520651535396746,5.4859287935518816e-05,1020,1250,297758,299008,0.0002
47,4,v_sweep,41,-0.25081826234986754,-0.2,-0.05081826234986753,0.00036594643637586835,1.1458227384730747e-05,1020,1250,297758,299008,0.0002
48,4,isat,50,-0.029126834261399386,0.0,-0.029126834261399386,0.0017475303861572299,5.471729886105344e-05,1020,1250,297758,299008,0.0002
48,4,i_sweep,50,-0.024585895365246576,0.0,-0.024585895365246576,0.0018753829466028795,5.8720517812478355e-05,1020,1250,297758,299008,0.0002
48,4,v_sweep,50,-0.2508541804007095,-0.2,-0.05085418040070949,0.0003557242902792911,1.113815957509585e-05,1020,1250,297758,299008,0.0002
