es,chord_port,probe_port,z_chord_cm,z_probe_cm,window,L_probe_cm2,L_chord_cm2,ratio,te_used_ev,te_implied_ev,te_semiquant_fraction,te_sigma_sys_ev,pull,n_edge_left_over_axis,n_edge_right_over_axis,te_row_measured_fraction
2,29,29,1045.15,1045.15,17.875ms,4.63603e+14,3.93126e+14,1.17927,4.64126,6.45453,0.254902,1.36032,-1.33298,0.0338515,0.219787,1
2,29,29,1045.15,1045.15,18.375ms,4.59942e+14,3.91398e+14,1.17513,4.68582,6.47075,0.254902,1.37145,-1.30149,0.088262,0.225294,1
2,29,29,1045.15,1045.15,18.875ms,4.58927e+14,3.89724e+14,1.17757,4.6904,6.50404,0.254902,1.3726,-1.32132,0.105065,0.241373,1
2,29,29,1045.15,1045.15,19.375ms,4.57818e+14,3.87982e+14,1.18,4.69736,6.54058,0.254902,1.37434,-1.34117,-0.0341511,0.192097,1
2,40,41,1396.6,1428.55,15.000-19.500ms,4.73284e+14,4.44905e+14,1.06379,2.92966,3.31533,0.35098,0.932414,-0.413625,-0.0278399,0.12834,1
2,40,41,1396.6,1428.55,15.375ms,4.82671e+14,4.58537e+14,1.05263,2.82661,3.13198,0.352941,0.906652,-0.336809,0.00113814,0.113441,1
2,40,41,1396.6,1428.55,15.875ms,4.80195e+14,4.55005e+14,1.05536,2.85731,3.18245,0.352941,0.914328,-0.3556,-0.0583931,0.099994,1
2,40,41,1396.6,1428.55,16.375ms,4.78007e+14,4.51532e+14,1.05864,2.87692,3.22419,0.352941,0.91923,-0.377781,-0.0288845,0.124011,1
2,40,41,1396.6,1428.55,16.875ms,4.72965e+14,4.48146e+14,1.05538,2.93071,3.26431,0.352941,0.932677,-0.357688,0.0155601,0.123995,1
2,40,41,1396.6,1428.55,17.375ms,4.71613e+14,4.44895e+14,1.06005,2.94826,3.313,0.333333,0.937064,-0.389239,-0.0458621,0.15592,1
2,40,41,1396.6,1428.55,17.875ms,4.695e+14,4.41592e+14,1.0632,2.97077,3.35813,0.352941,0.942693,-0.410911,-0.0133143,0.112122,1
2,40,41,1396.6,1428.55,18.375ms,4.69803e+14,4.38191e+14,1.07214,2.96726,3.41083,0.352941,0.941814,-0.470975,-0.0459658,0.144429,1
2,40,41,1396.6,1428.55,18.875ms,4.68174e+14,4.34796e+14,1.07677,2.99188,3.46887,0.352941,0.947971,-0.50317,-0.0205727,0.138657,1
2,40,41,1396.6,1428.55,19.375ms,4.66629e+14,4.3145e+14,1.08154,3.0032,3.5129,0.352941,0.950799,-0.536079,-0.0556333,0.143878,1
3,20,21,757.6,789.55,15.000-19.500ms,3.72929e+14,3.19427e+14,1.16749,2.61626,3.56608,0.266667,0.854066,-1.11212,0.00514548,0.0349774,0
3,20,21,757.6,789.55,15.750ms,3.73108e+14,3.17299e+14,1.17589,2.67683,3.70129,0.254902,0.869208,-1.17861,0.0275388,0.0168024,0
3,20,21,757.6,789.55,16.750ms,3.73319e+14,3.18637e+14,1.17161,2.62852,3.6081,0.27451,0.85713,-1.14286,0.0145754,0.0286056,0
3,20,21,757.6,789.55,17.750ms,3.73893e+14,3.20118e+14,1.16799,2.58018,3.51985,0.27451,0.845044,-1.11198,0.00756072,0.00937544,0
3,20,21,757.6,789.55,18.750ms,3.71397e+14,3.21654e+14,1.15465,2.57943,3.43893,0.27451,0.844858,-1.01733,-0.0292073,0.0851097,0
3,29,29,1045.15,1045.15,15.000-19.500ms,4.36394e+14,4.49847e+14,0.970095,1.72192,1.62047,0.333333,0.630481,0.160909,0.0418574,0.0937899,1
3,29,29,1045.15,1045.15,15.750ms,4.31767e+14,4.31184e+14,1.00135,1.76408,1.76886,0.333333,0.64102,-0.00745611,0.0235577,0.0823172,1
